event_id,home_team,away_team,commence_time
673121d56b103f8d38738980fbffafef,Detroit Tigers,Athletics,2026-07-09T22:41:00Z
83cf12bed561626b784721179f647eb2,Miami Marlins,Seattle Mariners,2026-07-09T22:41:00Z
6bfe03bb9d1e3ada87b6238cd7203d64,Cincinnati Reds,Philadelphia Phillies,2026-07-09T23:11:00Z
cea3285cc6f53d314e7111cbd078141b,St. Louis Cardinals,Milwaukee Brewers,2026-07-09T23:46:00Z
c2c3eb02058f54f27b00aeb1e59224f9,Texas Rangers,Los Angeles Angels,2026-07-10T00:06:00Z
ff7fcfaa73e919c6a69c375313853a91,San Diego Padres,Arizona Diamondbacks,2026-07-10T01:41:00Z
f6d5d25a3b26ed6f4b0aa584e75b872c,San Francisco Giants,Colorado Rockies,2026-07-10T01:46:00Z
f308816130f3007f771929f15d62862c,Pittsburgh Pirates,Milwaukee Brewers,2026-07-10T22:41:00Z
250b0373676b10f51ed1c59c93714245,Washington Nationals,New York Yankees,2026-07-10T22:46:00Z
b11bed54d0340b0a1865d2f8d41bb050,Baltimore Orioles,Kansas City Royals,2026-07-10T23:06:00Z
55c7996867831d050e3a904c541089d8,Cincinnati Reds,Chicago Cubs,2026-07-10T23:11:00Z
e1b31472ec00cc3475d077ee22298ef8,Miami Marlins,Cleveland Guardians,2026-07-10T23:11:00Z
781ce9e5ac0cd1e3339085c1fb7d7b39,Tampa Bay Rays,Seattle Mariners,2026-07-10T23:11:00Z
76ab48541c0690199e815574c469d162,New York Mets,Boston Red Sox,2026-07-10T23:16:00Z
2ac65fed3f431f0601c2e788aee18cab,St. Louis Cardinals,Atlanta Braves,2026-07-11T00:16:00Z
