date,game_id,away_team,home_team,away_pitcher,home_pitcher,status
2026-07-20,824410,Minnesota Twins,Cleveland Guardians,Joe Ryan,Tanner Bibee,Pre-Game
2026-07-20,823522,Pittsburgh Pirates,New York Yankees,Braxton Ashcraft,Ryan Weathers,Scheduled
2026-07-20,822788,Tampa Bay Rays,Toronto Blue Jays,Nick Martinez,Dylan Cease,Scheduled
2026-07-20,824736,Baltimore Orioles,Boston Red Sox,Shane Baz,Payton Tolle,Pre-Game
2026-07-20,823436,Los Angeles Dodgers,Philadelphia Phillies,Emmet Sheehan,Cristopher Sánchez,Scheduled
2026-07-20,824898,San Diego Padres,Atlanta Braves,JP Sears,Bryce Elder,Pre-Game
2026-07-20,824087,San Francisco Giants,Kansas City Royals,Trevor McDonald,Michael Wacha,Scheduled
2026-07-20,823762,New York Mets,Milwaukee Brewers,Freddy Peralta,Jacob Misiorowski,Scheduled
2026-07-20,824654,Detroit Tigers,Chicago Cubs,Jack Flaherty,Jameson Taillon,Scheduled
2026-07-20,822874,Chicago White Sox,Texas Rangers,Erick Fedde,Jacob deGrom,Scheduled
2026-07-20,824167,Miami Marlins,Houston Astros,Janson Junk,Ronel Blanco,Scheduled
2026-07-20,824328,Washington Nationals,Colorado Rockies,Andrew Alvarez,Kyle Freeland,Scheduled
2026-07-20,825058,Athletics,Arizona Diamondbacks,Jeffrey Springs,Mitch Bratt,Scheduled
2026-07-20,823112,Cincinnati Reds,Seattle Mariners,Andrew Abbott,George Kirby,Scheduled
2026-07-20,824006,St. Louis Cardinals,Los Angeles Angels,Kyle Leahy,José Soriano,Scheduled
